;;;;;;;;;;;;;;;;Tir Visé;;;;;;;;;;
La première colonne n'est pas lu par le parser, c'est juste pour nous;<start>;<name>Tir multiple;;;;Balle/seconde;;;;;;;;;<start>;<name>Différent;;;Balle/seconde;;;;;;;
;<column>;<id>;<previd>;<var>name;<var>description;<var>damagePerBullet;<var>attackSpeed;<var>bulletSpeed;<var>misc;<var>penetration;<endLine>;;;;<column>;<id>;<previd>;<var>name;<var>description;<var>damagePerBullet;<var>attackSpeed;<var>bulletSpeed;<var>misc;<var>moveSpeed;<endLine>;
1;;0;;Double Tirs;Un problème est survenu;*1.2;*0.8;*1.1;doubleTirs1;;;;;;1;0;;Le classique;Pas besoin de fioritures;*1.1;*1.1;*1.1;;;;
4;;1;0;côte à côte !;Nos ingénieurs ont fixé la ballistique ! ;;*1.2;*1.1;doubleTirs2;;;;;;4;1;0;Auto aim;Pour les gros nazes comme toi;1.1;*0.75;*0.75;autoAim;;;
4;;2;0;Dégat +;ça va tabasser là;*1.5;*1.2;;;;;;;;4;2;0;La sulfateuse;Ah ouais ça piou là;*0.75;*2;;;;;
4;;3;0;Triple Tirs;pareil mais un tir en plus ;*1.2;*1.2;;doubleTirs3;;;;;;4;3;0;Classik pour toujours;Toujours fidèle, tu peux être fier de toi;*1.5;*1.15;*1.5;;*1.25;;
7;;4;2;On reste comme ça;Rien à signaler;*1.2;*1.2;;;;;;;;;<endColumn>;;;;;;;;;;
7;;5;2;Double laser;Pour deux fois plus de fun;;;;laser;;;;;;;7;3;1;Amélioration;Woah attend mais tu vas vraiment faire mal;1.2;;1;;;
;;<endColumn>;;;;;;;;;;;;;;7;4;2;Bullets in the blue  sky;Le nom c'est une ref … une chanson de U2 ( la confiture etc etc);1.5;;1;;;
;;;;;;;;;;;;;;;;10;5;3;Triple canon;T'abuse l…;1;3;1;;;
;;;;;;;;;;;;;;;;10;6;4;I Need More Bullets;Glizzy overdrive activated;;;1;;;
10;;6;3;Triple canon;T'abuse !;;;;;;;;;;;;;;;;;;;;;
10;;7;4;I Need More Bullets;Glizzy overdrive activated;;;;;2;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier qui est lu par le jeu et qui permet de voir toutes les différentes améliorations pour l'arme principale;;;;;;;;Si une valeur est un float ou un int il faut préciser le type d'opération qu'on effectue desssus, * + - et rien équivaut à une affectation;;;;;;;;;;;;;;;;;;
Ce qui est colorié en jaune est obligatoire en terme de placements sur un tableau ;;;;;;;;;;;;;;;<start>;<name>Sniper;;;;;;;;;;
;;;;;;;;;;;;;;;<column>;<id>;<previd>;<var>name;<var>description;<var>damagePerBullet;<var>attackSpeed;<var>bulletSpeed;<var>moveSpeed;<var> penetration;<var>misc;<endLine>
<start>;<name>fusil à pompe (on a tout pris à Cuphead);;;;;;;;;;;;;;1;0;;Sniper;One Shot;*2.5;*0.5;*5;;;;
<column>;<id>;<previd>;<var>name;<var>description;<var>damagePerBullet;<var>attackSpeed;<var>bulletSpeed;<var>misc;<var>moveSpeed;;<endLine>;;;;4;1;0;Balle blindée;On va percer c'est sûr;*1.1;;;;2;;
1;0;;Gunshot;Attention ça pique;*0.75;;1.25;gunshot;;;;;;;4;2;0;Main Leste;Deux atouts piqué;*1.2;*1.5;;;1;;
4;1;0;Automatique;Sinon faut juste mieux viser …;;*1.5;;;;;;;;;4;3;0;Sprinter;Le véhicule mercredes;*1.2;;;*1.4;;;
